pid,name
nm0752991,Beata Rybotycka
nm0527322,Branko Lustig
nm0560246,Artus Maria Matthiessen
nm0716795,Hans-Michael Rehberg
nm0698178,Eugeniusz Priwieziencew
nm0389222,Michael Z. Hoffmann
nm0496441,Erwin Leder
nm0293695,Jochen Nickel
nm0920487,Andrzej Welminski
nm0215746,Daniel Del-Ponte
nm0322882,Marian Glinka
nm0198812,Grzegorz Damiecki
nm0107014,Stanislaw Brejdygant
nm0523821,Olaf Lubaszenko
nm0125379,Haymon Maria Buttinger
nm0032303,Peter Appiano
nm0700286,Jacek Pulanecki
nm0214076,Tomasz Dedek
nm0390831,Slawomir Holland
nm0783847,Martin Semmelrogge
nm0401291,Tadeusz Huk
nm0374901,Alexander Held
nm0194305,Piotr Cyrwus
nm0039784,Joachim Paul Assböck
nm0706486,Osman Ragheb
nm0650192,Maciej Orlos
nm0943012,Marek Wrona
nm0468969,Zbigniew Kozlowski
nm0344859,Marcin Grzymowicz
nm0937055,Dieter Witting
nm0464733,Magdalena Komornicka
nm0472650,Agnieszka Krukówna
nm0461789,Anemona Knut
nm0283490,Jeremy Flynn
nm0905777,Agnieszka Wagner
nm0432907,Jan Jurewicz
nm0464582,Wieslaw Komasa
nm0468959,Maciej Kozlowski
nm1295836,Martin Bergmann
nm0543876,Wilhelm Manske
nm0281374,Peter Flechtner
nm0069864,Sigurd Bemme
nm0844372,Etl Szyc
nm0951382,Lucyna Zabawa
nm0267336,Ruth Farhi
nm0755984,Jerzy Sagan
nm0844384,Dariusz Szymaniak
nm0070459,Dirk Bender
nm0935246,Maciej Winkler
nm0473112,Radoslaw Krzyzowski
nm0501758,Jacek Lenczowski
nm0467318,Hanna Kossowska
nm0652292,Maja Ostaszewska
nm0803827,Sebastian Skalski
nm0705922,Ryszard Radwanski
nm0434365,Piotr Kadlcik
nm0630583,Lech Niebielski
nm0004623,Thomas Morris
nm0465318,Sebastian Konrad
nm0944101,Lidia Wyrobiec-Bank
nm0272320,Ravit Ferera
nm0466850,Agnieszka Korzeniowska
nm0066111,Dominika Bednarczyk
nm0473385,Alicja Kubaszewska
nm0546021,Danny Marcu
nm0743112,Hans Rosner
nm0523820,Edward Linde-Lubaszenko
nm0834708,Alexander Strobele
nm0449452,Georges Kern
nm0118842,Alexander Buczolich
nm0771665,Michael Schiller
nm0653248,Götz Otto
nm0782405,Wolfgang Seidenberg
nm0469425,Hubert Kramar
nm0411492,Razia Israeli
nm0780439,Dorit Seadia
nm0947685,Esti Yerushalmi
nm0001392,Peter Jackson
nm0866058,J.R.R. Tolkien
nm0909638,Fran Walsh
nm0101991,Philippa Boyens
nm0001392,Peter Jackson
nm0032370,Noel Appleby
nm0040012,Ali Astin
nm0000276,Sean Astin
nm0040058,David Aston
nm0045324,John Bach
nm0000293,Sean Bean
nm0000949,Cate Blanchett
nm0089217,Orlando Bloom
nm0101710,Billy Boyd
nm1480092,Sadwyn Brophy
nm0115143,Alistair Browning
nm0190744,Marton Csokas
nm1480102,Richard Edge
nm1480106,Jason Fitch
nm0384060,Bernard Hill
nm0000453,Ian Holm
nm0394126,Bruce Hopkins
nm0400655,Ian Hughes
nm0538692,Lawrence Makoare
nm0005212,Ian McKellen
nm1235366,Bret McKenzie
nm0572867,Sarah McLeod
nm1480155,Maisy McLeod-Riera
nm0597480,Dominic Monaghan
nm0001557,Viggo Mortensen
nm0633604,John Noble
nm0635264,Paul Norell
nm0001584,Miranda Otto
nm0680273,Bruce Phillips
nm1432313,Shane Rangi
nm0722636,John Rhys-Davies
nm0728119,Todd Rippon
nm0992718,Thomas Robins
nm0785227,Andy Serkis
nm0801625,Harry Sinclair
nm0846913,Peter Tait
nm0864835,Joel Tobeck
nm0000239,Liv Tyler
nm0881631,Karl Urban
nm0881831,Stephen Ure
nm0915989,Hugo Weaving
nm0920992,David Wenham
nm0000704,Elijah Wood
nm0397102,Alan Howard
nm1019674,Sala Baker
nm0689692,Robert Pollock
nm0242091,Ross Duncan
nm0809572,Pete Smith
nm0112400,Jed Brophy
nm1101755,Lee Hartley
nm0413309,Billy Jackson
nm1116175,Katie Jackson
nm1115856,Phil Grieve
nm0000233,Quentin Tarantino
nm0000233,Quentin Tarantino
nm0000812,Roger Avary
nm0000233,Quentin Tarantino
