mid,gid
tt0139654,24
tt0230600,14
tt0230600,17
tt0230600,24
tt2096673,3
tt2096673,2
tt2096673,5
tt2096673,8
tt2096673,9
tt2096673,10
tt1895587,4
tt1895587,6
tt1895587,8
tt0347149,3
tt0347149,2
tt0347149,9
tt0347149,10
tt0181689,1
tt0181689,6
tt0181689,17
tt0181689,21
tt0181689,24
tt2024544,4
tt2024544,8
tt2024544,13
tt0095016,1
tt0095016,24
tt0398286,3
tt0398286,2
tt0398286,5
tt0398286,9
tt0398286,10
tt0398286,16
tt0398286,20
tt0378194,1
tt0378194,6
tt0378194,24
tt0314331,5
tt0314331,8
tt0314331,20
tt0265086,8
tt0265086,13
tt0265086,25
tt4481414,8
tt0091763,8
tt0091763,25
tt3741834,4
tt3741834,8
tt0268978,4
tt0268978,8
tt0783233,8
tt0783233,17
tt0783233,20
tt0783233,25
tt0401792,6
tt0401792,24
tt0032138,2
tt0032138,9
tt0032138,10
tt0032138,16
tt3553976,5
tt3553976,8
tt0034583,8
tt0034583,20
tt0034583,25
tt2350496,8
tt2350496,20
tt0107048,5
tt0107048,10
tt0107048,20
tt0049730,2
tt0049730,8
tt0049730,26
tt1403865,8
tt1403865,26
tt0099785,5
tt0099785,9
tt0117951,8
tt1024648,4
tt1024648,8
tt1024648,24
tt2194499,5
tt2194499,8
tt2194499,10
tt2194499,20
tt2194499,21
tt0114709,3
tt0114709,2
tt0114709,5
tt0114709,9
tt0114709,10
tt0434409,1
tt0434409,8
tt0434409,21
tt0434409,24
tt0097165,5
tt0097165,8
tt0211915,5
tt0211915,20
tt0096438,3
tt0096438,2
tt0096438,5
tt0096438,6
tt0096438,9
tt0096438,10
tt0096438,17
tt1156398,2
tt1156398,5
tt1156398,10
tt1156398,21
tt1210166,4
tt1210166,8
tt1210166,22
tt0083866,9
tt0083866,21
tt3606756,3
tt3606756,1
tt3606756,2
tt3606756,5
tt3606756,9
tt3606756,21
tt0070047,14
tt0087332,1
tt0087332,5
tt0087332,10
tt0217505,6
tt0217505,8
tt0335266,8
tt0335266,20
tt2278871,8
tt2278871,20
tt0065938,2
tt0065938,5
tt0065938,25
tt0206634,8
tt0206634,21
tt0206634,24
tt0117381,6
tt0117381,8
tt0117381,17
tt0117381,24
tt0388795,8
tt0388795,20
tt0120735,5
tt0120735,6
tt5116302,2
tt5116302,4
